Exit,City,Street,Timestamp,Vehicles Count,Traffic State,Gate State
Exit 9,Riyadh,Al Hamra,2024-09-29 20:57:17,20,Heavy,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:57:22,20,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:57:23,19,Medium,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:57:24,20,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:57:25,19,Medium,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:57:26,20,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:57:27,20,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:57:28,20,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:57:29,20,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:57:31,20,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:57:32,20,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:57:33,20,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:57:34,19,Medium,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:57:36,20,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:57:37,19,Medium,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:57:38,19,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:57:39,20,Heavy,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:57:41,20,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:57:42,20,Heavy,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:57:43,17,Medium,Closed
Exit 9,Riyadh,Al Hamra,2024-09-29 20:57:43,18,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:57:44,18,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:57:45,17,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:57:45,17,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:57:46,18,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:57:46,18,Medium,Open
Exit 9,Riyadh,Al Hamra,2024-09-29 20:57:47,19,Medium,Open
